,0
0,-46.78186771
1,-46.78186771
2,-46.78186771
3,-46.78186771
4,-46.37155072
5,-46.78186771
6,-46.78186771
7,-46.20240893
8,-46.50630594
9,-46.50630594
10,-46.50630594
11,-46.20240893
12,-46.20240893
13,-46.78186771
14,-46.42773354
15,-46.37155072
16,-46.37155072
17,-46.63147268
18,-46.72190074
19,-46.72190074
20,-46.29590625
21,-46.63147268
22,-46.78186771
23,-46.42773354
24,-46.72190074
25,-46.20240893
26,-46.50630594
27,-46.63147268
28,-46.71908161
29,-46.71908161
30,-46.76121224
31,-46.65062102
32,-46.78186771
33,-46.55862614
34,-46.29590625
35,-46.43817276
36,-46.37155072
37,-46.88112572
38,-46.88112572
39,-46.36283876
40,-46.43071503
41,-46.59842403
42,-46.78186771
43,-46.78186771
44,-46.66770766
45,-46.78186771
46,-46.74319345
47,-46.88112572
48,-46.88112572
49,-46.43071503
50,-46.82866081
51,-46.32698486
52,-46.59842403
53,-46.78207531
54,-46.68261827
55,-46.59842403
56,-46.72190074
57,-46.66770766
58,-46.39419428
59,-46.78186771
60,-46.71023743
61,-46.42773354
62,-46.72190074
63,-46.72190074
64,-46.66660674
65,-46.66660674
66,-46.66660674
67,-46.58937815
68,-46.71908161
69,-46.52159257
70,-47.0054967
71,-46.71908161
72,-46.82866081
73,-46.82866081
74,-46.43817276
75,-46.66660674
76,-46.78186771
77,-46.52159257
78,-46.29590625
79,-46.29590625
80,-46.76121224
81,-46.71023743
82,-46.32698486
83,-46.78207531
84,-46.53310422
85,-46.53310422
86,-46.65062102
87,-46.78186771
88,-46.3313343
89,-46.66770766
90,-46.66770766
91,-46.53310422
92,-46.53310422
93,-46.76121224
94,-46.71023743
95,-46.28470724
96,-46.43071503
97,-46.43071503
98,-46.36283876
99,-46.78186771
100,-46.78186771
101,-46.78186771
102,-46.58566327
103,-46.3313343
104,-46.58937815
105,-46.74319345
106,-46.4742395
107,-46.59842403
108,-46.59842403
109,-46.79359478
110,-46.52159257
111,-46.58566327
112,-46.58566327
113,-46.78186771
114,-46.62589589
115,-46.62589589
116,-46.32698486
117,-46.66770766
118,-46.14394201
119,-46.78186771
120,-46.78186771
121,-46.78186771
122,-46.3313343
123,-46.3313343
124,-46.78186771
125,-46.52159257
126,-46.52159257
127,-46.71023743
128,-46.58937815
129,-46.4742395
130,-46.28470724
131,-46.52159257
132,-46.79359478
133,-46.58566327
134,-46.29888637
135,-46.29888637
136,-46.78186771
137,-46.78186771
138,-46.78186771
139,-46.14394201
140,-46.78186771
141,-46.42773354
142,-46.42773354
143,-46.78186771
144,-46.78186771
145,-46.74357173
146,-46.74357173
147,-46.53310422
148,-46.53310422
149,-46.29406221
150,-46.29406221
151,-46.72766933
152,-46.72766933
153,-46.72766933
154,-46.78186771
155,-46.3313343
156,-46.71908161
157,-46.71908161
158,-46.7808991
159,-46.28470724
160,-46.29888637
161,-46.78186771
162,-46.78186771
163,-46.78186771
164,-46.82866081
165,-46.43817276
166,-46.78186771
167,-46.78186771
168,-46.79359478
169,-46.82559701
170,-46.66660674
171,-46.78207531
172,-46.56733789
173,-46.58650649
174,-46.14394201
175,-46.14394201
176,-46.78186771
177,-46.40686632
178,-46.40686632
179,-46.40686632
180,-46.29406221
181,-46.65062102
182,-46.78186771
183,-46.55862614
184,-46.55862614
185,-46.54391598
186,-46.78186771
187,-46.78186771
188,-46.71023743
189,-46.78186771
190,-46.78186771
191,-46.78186771
192,-46.78186771
193,-46.58937815
194,-46.78186771
195,-46.52159257
196,-47.0054967
197,-47.0054967
198,-46.78186771
199,-46.78186771
200,-46.72766933
201,-46.63147268
202,-46.29406221
203,-46.78186771
204,-46.78186771
205,-46.64034447
206,-46.78186771
207,-46.29590625
208,-46.97561148
209,-46.78186771
210,-46.74357173
211,-46.36283876
212,-46.43817276
213,-46.78186771
214,-46.78186771
215,-46.78186771
216,-46.78186771
217,-46.78186771
218,-46.78186771
219,-46.78186771
220,-46.78186771
221,-46.78186771
222,-46.78186771
223,-46.78186771
224,-46.74319345
225,-46.78186771
226,-46.78186771
227,-46.78186771
228,-46.78186771
